candidate sequence ID	candidate nucleotide count	errors	template ID	BLAST percent identity to template	candidate nucleotide count post-NAST
OTU128	466		11627	86.50	466
OTU130	475		80785	87.20	475
OTU138	490		204430	88.40	490
OTU140	465		86097	93.80	465
OTU122	435		216118	93.80	435
OTU136	476		191465	94.30	476
OTU132	451		113259	94.20	451
OTU146	442		111978	94.10	442
OTU137	439		32841	92.50	439
OTU135	481		212699	92.10	481
OTU141	443		21860	86.20	443
OTU134	498		111289	89.60	498
OTU117	433		4617	92.10	433
OTU139	482		105640	97.90	482
OTU133	455		200639	82.20	455
OTU125	431		128706	98.80	431
OTU149	480		145090	83.30	480
OTU161	506		140940	89.10	506
OTU129	482		82250	91.90	482
OTU153	482		227601	94.20	482
OTU159	433		5793	95.20	433
OTU160	480		143354	90.60	480
OTU157	482		78916	93.60	482
OTU150	479		162739	99.80	479
OTU168	433		99158	97.90	433
OTU172	474		90502	84.40	474
OTU148	484		105640	93.20	484
OTU171	461		26613	83.90	461
OTU177	467		182108	86.50	467
OTU158	464		54834	99.80	464
OTU145	478		218248	86.20	478
OTU166	462		160746	87.00	462
OTU152	486		213181	89.70	486
OTU169	454		65433	99.80	454
OTU173	482		14263	93.60	482
OTU155	484		6702	89.30	484
OTU151	466		167566	91.80	466
OTU165	474		213189	90.10	474
OTU154	482		82250	95.40	482
OTU131	461		167566	94.80	461
OTU193	445		41211	89.40	445
OTU178	484		1885	93.00	484
OTU182	490		50403	96.30	490
OTU144	475		12523	90.10	475
OTU162	467		202129	92.30	467
OTU156	470		137492	89.10	470
OTU180	486		106304	89.90	486
OTU174	465		108713	92.70	465
OTU163	461		155786	91.30	461
OTU164	493		114417	92.30	493
OTU188	484		228870	91.90	484
OTU170	466		176825	94.60	466
OTU179	437		32841	99.10	437
OTU191	433		65460	96.10	433
OTU189	442		111978	95.50	442
OTU167	465		157172	92.50	465
OTU181	492		144055	91.10	492
OTU202	479		218248	88.10	479
OTU186	483		211447	95.00	483
OTU199	486		212772	93.00	486
OTU185	494		109057	96.80	494
OTU192	483		65682	90.10	483
OTU206	468		169430	88.90	468
OTU176	435		29077	98.20	435
OTU220	529	No search results.
OTU211	482		82250	94.40	482
OTU195	480		60733	91.90	480
OTU196	461		26613	91.50	461
OTU197	438		69031	97.90	438
OTU218	491		201970	90.00	491
OTU175	469		176825	92.80	469
OTU190	484		110392	94.80	484
OTU209	486		154287	88.30	486
OTU203	435		84672	96.80	435
OTU204	448		71332	95.30	448
OTU221	433		145581	95.20	433
OTU183	480		8262	99.40	480
OTU194	500		141630	96.00	500
OTU198	467		108713	93.10	467
OTU212	488		204430	90.80	488
OTU187	496		226885	87.70	496
OTU213	479		107946	97.70	479
OTU231	470		2534	83.00	470
OTU184	484		104381	93.20	484
OTU205	484		227601	91.90	484
OTU237	484		154287	89.50	484
OTU214	488		204430	92.40	488
OTU201	482		6702	92.50	482
OTU235	451		153115	88.70	451
OTU228	459		1299	89.30	459
OTU230	497		15110	99.40	497
OTU243	467		51292	93.40	467
OTU229	465		29154	90.50	465
OTU207	465		137455	94.60	465
OTU223	431		4622	94.40	431
OTU210	470		112160	95.70	470
OTU232	466		25807	94.40	466
OTU222	464		76995	85.80	464
OTU247	483		142449	89.20	483
OTU200	482		6702	94.80	482
OTU208	463		64880	96.30	463
OTU239	461		155786	93.70	461
OTU219	462		215442	95.90	462
OTU225	498		219177	98.40	498
OTU215	475		109644	99.40	475
OTU253	480		155780	89.00	480
OTU227	468		184706	94.00	468
OTU216	486		130882	91.60	486
OTU224	464		208120	98.50	464
OTU234	461		64880	94.10	461
OTU244	478		143354	92.70	478
OTU240	486		103560	90.30	486
OTU242	450		174734	96.20	450
OTU257	443		41211	91.90	443
OTU251	459		90766	84.50	459
OTU226	445		41211	87.00	445
OTU236	438		32841	92.20	438
OTU246	499		222765	88.80	499
OTU263	431		4617	93.30	431
OTU259	461		31908	93.10	461
OTU241	433		145581	96.80	433
OTU245	484		20648	88.60	484
OTU217	431		137102	96.10	431
OTU252	468		108713	92.50	468
OTU258	464		1216	89.20	464
OTU260	472		15989	93.60	472
OTU278	523		76923	89.10	523
OTU261	482		110120	86.50	482
OTU269	465		202129	89.90	465
OTU256	469		176825	89.80	469
OTU255	486		29792	91.40	486
OTU238	433		5798	92.80	433
OTU265	481		19837	92.70	481
OTU274	468		184706	91.50	468
OTU254	433		5798	92.10	433
OTU283	486		154287	90.70	486
OTU276	469		191730	92.80	469
OTU266	485		1732	90.70	485
OTU249	460		99987	89.30	460
OTU264	478		6929	88.30	478
OTU233	468		43992	94.70	468
OTU262	433		5793	95.40	433
OTU270	455		160746	86.60	455
OTU248	433		4617	93.80	433
OTU250	431		4715	96.30	431
OTU275	435		5793	95.20	435
OTU273	484		101503	90.10	484
OTU296	484		2488	95.70	484
OTU286	512		21096	99.40	512
OTU268	478		191465	92.10	478
OTU280	491		206038	89.40	491
OTU272	484		163284	91.30	484
OTU289	505		24150	94.10	505
OTU281	435		216118	94.00	435
OTU306	488		1975	87.30	488
OTU303	507		15710	82.10	507
OTU271	466		176825	90.30	466
OTU294	486		106304	89.70	486
OTU304	462		113628	86.40	462
OTU284	475		115032	88.20	475
OTU291	484		101503	92.40	484
OTU290	482		7056	97.90	482
OTU282	470		43992	94.70	470
OTU311	467		60166	83.90	467
OTU301	470		136522	96.20	470
OTU287	452		174734	96.00	452
OTU277	464		175192	98.10	464
OTU292	486		222887	88.70	486
OTU302	485		15710	82.30	485
OTU305	481	No search results.
OTU293	433		6161	94.50	433
OTU279	466		214060	92.10	466
OTU300	433		6161	94.50	433
OTU295	486		212772	95.10	486
OTU298	490		201970	89.80	490
OTU313	435		104129	93.60	435
OTU315	433		5798	95.80	433
OTU310	439		200206	79.00	439
OTU288	464		137455	94.00	464
OTU297	501		104054	92.40	501
OTU285	431		4622	94.40	431
OTU314	463		26613	90.10	463
OTU267	467		42039	93.80	467
OTU307	466		176825	89.90	466
OTU309	461		26613	90.50	461
OTU308	470		43992	93.40	470
OTU299	443		101767	95.50	443
OTU316	464		208120	94.00	464
OTU312	467		169430	94.60	467
PyNastAligner parameters:
Algorithm:NAST
Application:PyNAST
blast_db:None
min_len:351
min_pct:75.0
pairwise_alignment_method:uclust
template_filepath:/space/users/ey/Documents/Amplicon_databases/core_set_aligned.fasta.imputed
